"Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Saving_account_bonds","Present_employment_since","Installment_rate_of_disposable_income","Sex","Personal_status","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","Foreign_worker","Good_loan"
NA,18,"critical account","car (new)",1530,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",2,"building society savings agreement/life insurance",32,"bank","own",2,"skilled employee/official",1,"no","yes","no"
NA,48,"existing credits paid back duly till now","business",3914,NA,"1  <= ... < 4 years",0.04,"male","divorced/separated","none",2,"real estate",38,"bank","own",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",1858,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",1,"car or other",22,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","radio/television",2600,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",4,NA,65,"none","for free",2,"skilled employee/official",1,"no","yes","no"
NA,15,"existing credits paid back duly till now","radio/television",1979,NA,"... >= 7 years",0.04,"male","single","none",2,"car or other",35,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... >= 200 DM",6,"existing credits paid back duly till now","furniture/equipment",2116,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"real estate",41,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",9,"all credits at this bank paid back duly","car (new)",1437,"100 <= ... <  500 DM","4  <= ... < 7 years",0.02,"male","single","none",3,NA,29,"none","own",1,"skilled employee/official",1,"no","yes","no"
NA,42,"critical account","furniture/equipment",4042,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.04,"male","single","none",4,"real estate",36,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,9,"existing credits paid back duly till now","education",3832,NA,"... >= 7 years",0.01,"male","single","none",4,"real estate",64,"none","own",1,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",24,"existing credits paid back duly till now","radio/television",3660,"... <  100 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",4,"car or other",28,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",18,"all credits at this bank paid back duly","furniture/equipment",1553,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",3,"car or other",44,"bank","own",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",15,"existing credits paid back duly till now","radio/television",1444,NA,"... < 1 year",0.04,"male","single","none",1,"building society savings agreement/life insurance",23,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,9,"existing credits paid back duly till now","furniture/equipment",1980,"... <  100 DM","... < 1 year",0.02,"female","divorced/separated/married","co-applicant",2,"car or other",19,"none","rent",2,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (new)",1355,"... <  100 DM","... < 1 year",0.03,"female","divorced/separated/married","none",4,"car or other",25,"none","own",1,"unskilled - resident",1,"yes","yes","no"
NA,12,"existing credits paid back duly till now","education",1393,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",47,"bank","own",3,"skilled employee/official",2,"yes","yes","yes"
NA,24,"existing credits paid back duly till now","radio/television",1376,"500 <= ... < 1000 DM","4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",1,"car or other",28,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,60,"delay in paying off in the past","radio/television",15653,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",4,"car or other",21,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,12,"existing credits paid back duly till now","radio/television",1493,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",3,"car or other",34,"none","own",1,"skilled employee/official",2,"no","yes","yes"
"... < 0 DM",42,"delay in paying off in the past","radio/television",4370,"... <  100 DM","4  <= ... < 7 years",0.03,"male","single","none",2,"building society savings agreement/life insurance",26,"bank","own",2,"skilled employee/official",2,"yes","yes","no"
"... < 0 DM",18,"existing credits paid back duly till now","education",750,"... <  100 DM","unemployed",0.04,"female","divorced/separated/married","none",1,"real estate",27,"none","own",1,"unemployed/unskilled - non-resident",1,"no","yes","no"
"0 <= ... < 200 DM",15,"existing credits paid back duly till now","repairs",1308,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",38,"none","own",2,"unskilled - resident",1,"no","yes","yes"
NA,15,"existing credits paid back duly till now","education",4623,"100 <= ... <  500 DM","1  <= ... < 4 years",0.03,"male","single","none",2,"building society savings agreement/life insurance",40,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,24,"critical account","radio/television",1851,"... <  100 DM","4  <= ... < 7 years",0.04,"male","married/widowed","guarantor",2,"car or other",33,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",18,"critical account","radio/television",1880,"... <  100 DM","4  <= ... < 7 years",0.04,"male","married/widowed","none",1,"building society savings agreement/life insurance",32,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,36,"delay in paying off in the past","business",7980,NA,"... < 1 year",0.04,"male","single","none",4,"car or other",27,"none","rent",2,"skilled employee/official",1,"yes","yes","no"
"... < 0 DM",30,"no credits taken","furniture/equipment",4583,"... <  100 DM","1  <= ... < 4 years",0.02,"male","divorced/separated","guarantor",2,"real estate",32,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,12,"existing credits paid back duly till now","car (new)",1386,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",26,"none","own",1,"skilled employee/official",1,"no","yes","no"
"... >= 200 DM",24,"existing credits paid back duly till now","car (new)",947,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",3,NA,38,"bank","for free",1,"skilled employee/official",2,"no","yes","no"
"... < 0 DM",12,"existing credits paid back duly till now","education",684,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",4,"car or other",40,"none","rent",1,"unskilled - resident",2,"no","yes","no"
"... < 0 DM",48,"existing credits paid back duly till now","education",7476,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",1,NA,50,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","furniture/equipment",1922,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"building society savings agreement/life insurance",37,"none","own",1,"unskilled - resident",1,"no","yes","no"
"... < 0 DM",24,"existing credits paid back duly till now","car (new)",2303,"... <  100 DM","... >= 7 years",0.04,"male","single","co-applicant",1,"real estate",45,"none","own",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",36,"delay in paying off in the past","car (new)",8086,"100 <= ... <  500 DM","... >= 7 years",0.02,"male","single","none",4,"car or other",42,"none","own",4,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,24,"critical account","car (used)",2346,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",3,"car or other",35,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",14,"existing credits paid back duly till now","car (new)",3973,"... <  100 DM","unemployed",0.01,"male","single","none",4,NA,22,"none","for free",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",888,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",41,"bank","own",1,"unskilled - resident",2,"no","yes","no"
NA,48,"existing credits paid back duly till now","radio/television",10222,NA,"4  <= ... < 7 years",0.04,"male","single","none",3,"car or other",37,"stores","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",30,"no credits taken","business",4221,"... <  100 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",1,"car or other",28,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",18,"critical account","furniture/equipment",6361,"... <  100 DM","... >= 7 years",0.02,"male","single","none",1,NA,41,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"... >= 200 DM",12,"existing credits paid back duly till now","radio/television",1297,"... <  100 DM","1  <= ... < 4 years",0.03,"male","married/widowed","none",4,"real estate",23,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","car (new)",900,NA,"1  <= ... < 4 years",0.04,"male","married/widowed","none",2,"car or other",23,"none","own",1,"skilled employee/official",1,"no","yes","no"
NA,21,"existing credits paid back duly till now","furniture/equipment",2241,"... <  100 DM","... >= 7 years",0.04,"male","single","none",2,"real estate",50,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",6,"delay in paying off in the past","furniture/equipment",1050,"... <  100 DM","unemployed",0.04,"male","single","none",1,"building society savings agreement/life insurance",35,"stores","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... >= 200 DM",6,"critical account","education",1047,"... <  100 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",50,"none","own",1,"unskilled - resident",1,"no","yes","yes"
NA,24,"critical account","others",6314,"... <  100 DM","unemployed",0.04,"male","single","co-applicant",2,NA,27,"bank","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",30,"all credits at this bank paid back duly","furniture/equipment",3496,"... >= 1000 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"car or other",34,"stores","own",1,"skilled employee/official",2,"yes","yes","yes"
NA,48,"all credits at this bank paid back duly","business",3609,"... <  100 DM","1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",1,"real estate",27,"stores","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",12,"critical account","car (new)",4843,"... <  100 DM","... >= 7 years",0.03,"male","single","co-applicant",4,"building society savings agreement/life insurance",43,"none","rent",2,"skilled employee/official",1,"yes","yes","no"
"... >= 200 DM",30,"critical account","radio/television",3017,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",47,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,24,"critical account","business",4139,"100 <= ... <  500 DM","1  <= ... < 4 years",0.03,"male","single","none",3,"building society savings agreement/life insurance",27,"none","own",2,"unskilled - resident",1,"yes","yes","yes"
NA,36,"existing credits paid back duly till now","business",5742,"100 <= ... <  500 DM","4  <= ... < 7 years",0.02,"male","single","none",2,"car or other",31,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,60,"existing credits paid back duly till now","car (new)",10366,"... <  100 DM","... >= 7 years",0.02,"male","single","none",4,"building society savings agreement/life insurance",42,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,6,"critical account","car (new)",2080,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.01,"male","married/widowed","none",2,"car or other",24,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,21,"delay in paying off in the past","business",2580,"500 <= ... < 1000 DM","... < 1 year",0.04,"male","single","none",2,"real estate",41,"bank","own",1,"unskilled - resident",2,"no","yes","no"
NA,30,"critical account","radio/television",4530,"... <  100 DM","4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",4,"car or other",26,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,24,"critical account","furniture/equipment",5150,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",33,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",72,"existing credits paid back duly till now","radio/television",5595,"100 <= ... <  500 DM","1  <= ... < 4 years",0.02,"male","married/widowed","none",2,"car or other",24,"none","own",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",24,"existing credits paid back duly till now","radio/television",2384,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"real estate",64,"bank","rent",1,"unskilled - resident",1,"no","yes","yes"
NA,18,"existing credits paid back duly till now","radio/television",1453,"... <  100 DM","... < 1 year",0.03,"female","divorced/separated/married","none",1,"real estate",26,"none","own",1,"skilled employee/official",1,"no","yes","yes"
